ZipCode,City Name,State Abbr,Top Bid
57401,Aberdeen,SD,315
58103,Fargo,ND,315
58105,Fargo,ND,315
76886,Veribest,TX,65
76901,San Angelo,TX,65
76902,San Angelo,TX,65
76903,San Angelo,TX,65
76904,San Angelo,TX,65
76905,San Angelo,TX,65
76906,San Angelo,TX,65
76908,Goodfellow AFB,TX,65
76909,San Angelo,TX,65
76932,Big Lake,TX,65
76934,Carlsbad,TX,65
76935,Christoval,TX,65
76939,Knickerbocker,TX,65
76940,Mereta,TX,65
76951,Sterling City,TX,65
76955,Vancourt,TX,65
76957,Wall,TX,65
76958,Water Valley,TX,65
79329,Idalou,TX,65
79331,Lamesa,TX,65
79342,Loop,TX,65
79350,New Deal,TX,65
79359,Seagraves,TX,65
79360,Seminole,TX,65
79363,Shallowater,TX,65
79364,Slaton,TX,65
79366,Ransom Canyon,TX,65
79377,Welch,TX,65
79382,Wolfforth,TX,65
79401,Lubbock,TX,65
79402,Lubbock,TX,65
79403,Lubbock,TX,65
79404,Lubbock,TX,65
79406,Lubbock,TX,65
79407,Lubbock,TX,65
79408,Lubbock,TX,65
79409,Lubbock,TX,65
79410,Lubbock,TX,65
79411,Lubbock,TX,65
79412,Lubbock,TX,65
79413,Lubbock,TX,65
79414,Lubbock,TX,65
79415,Lubbock,TX,65
79416,Lubbock,TX,65
79423,Lubbock,TX,65
79424,Lubbock,TX,65
79430,Lubbock,TX,65
79452,Lubbock,TX,65
79453,Lubbock,TX,65
79457,Lubbock,TX,65
79464,Lubbock,TX,65
79490,Lubbock,TX,65
79491,Lubbock,TX,65
79493,Lubbock,TX,65
79499,Lubbock,TX,65
79501,Anson,TX,65
79503,Avoca,TX,65
79508,Buffalo Gap,TX,65
79511,Coahoma,TX,65
79512,Colorado City,TX,65
79520,Hamlin,TX,65
79525,Hawley,TX,65
79530,Lawn,TX,65
79532,Loraine,TX,65
79533,Lueders,TX,65
79536,Merkel,TX,65
79541,Ovalo,TX,65
79553,Stamford,TX,65
79561,Trent,TX,65
79562,Tuscola,TX,65
79563,Tye,TX,65
79565,Westbrook,TX,65
79601,Abilene,TX,65
79602,Abilene,TX,65
79603,Abilene,TX,65
79604,Abilene,TX,65
79605,Abilene,TX,65
79606,Abilene,TX,65
79607,Dyess AFB,TX,65
79608,Abilene,TX,65
79697,Abilene,TX,65
79698,Abilene,TX,65
79699,Abilene,TX,65
79701,Midland,TX,65
79702,Midland,TX,65
79703,Midland,TX,65
79704,Midland,TX,65
79705,Midland,TX,65
79706,Midland,TX,65
79707,Midland,TX,65
79708,Midland,TX,65
79710,Midland,TX,65
79711,Midland,TX,65
79712,Midland,TX,65
79713,Ackerly,TX,65
79714,Andrews,TX,65
79719,Barstow,TX,65
79720,Big Spring,TX,65
79721,Big Spring,TX,65
79731,Crane,TX,65
79733,Forsan,TX,65
79741,Goldsmith,TX,65
79742,Grandfalls,TX,65
79745,Kermit,TX,65
79748,Knott,TX,65
79749,Lenorah,TX,65
79752,Mc Camey,TX,65
79755,Midkiff,TX,65
79756,Monahans,TX,65
79758,Gardendale,TX,65
79759,Notrees,TX,65
79760,Odessa,TX,65
79761,Odessa,TX,65
79762,Odessa,TX,65
79763,Odessa,TX,65
79764,Odessa,TX,65
79765,Odessa,TX,65
79766,Odessa,TX,65
79768,Odessa,TX,65
79769,Odessa,TX,65
79776,Penwell,TX,65
79777,Pyote,TX,65
79778,Rankin,TX,65
79782,Stanton,TX,65
79783,Tarzan,TX,65
79788,Wickett,TX,65
79789,Wink,TX,65
